params,score,score_std,iteration_time,ndcg,recall,ndcg_std,recall_std
"{'alpha1': 0.37800528006905076, 'alpha2': 0.00014431070504775106, 'stage1_k': 70, 'popularity_weight': 0.013394768184914412, 'num_iterations': 82, 'process_playtime': 'log'}",0.3576224897641213,0.005620269841162,45.007636070251465,0.3495125072469855,0.4035790573612245,0.0063613485398429,0.0028071703247862
"{'alpha1': 0.17954724018523785, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.0, 'num_iterations': 600, 'process_playtime': 'log'}",0.3619058858162724,0.0057214052277922,35.80708026885986,0.3534428531843831,0.4098630707303117,0.0063328162723242,0.0034786363175581
"{'alpha1': 0.18015877565909172, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.0, 'num_iterations': 600, 'process_playtime': 'log'}",0.361881578993003,0.0056822240703567,27.604986906051636,0.3534213538659718,0.4098228547128466,0.0062971432404213,0.0034322334721784
"{'alpha1': 0.44955689972041196, 'alpha2': 0.7480583673544183, 'stage1_k': 61, 'popularity_weight': 0.18648792201673126, 'num_iterations': 318, 'process_playtime': 'log'}",0.3467230553974912,0.0075162330501991,34.58953905105591,0.3391595384261108,0.3895829849019801,0.0080777138268564,0.0043426716567052
"{'alpha1': 0.2779713699758901, 'alpha2': 0.013168681878959285, 'stage1_k': 219, 'popularity_weight': 0.0045000212073606615, 'num_iterations': 536, 'process_playtime': 'log'}",0.3592669637546386,0.00576647795342,23.376413822174072,0.3511094010499089,0.4054931524147739,0.0064513736724651,0.0025660070882185
"{'alpha1': 0.17784735501903146, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.0, 'num_iterations': 600, 'process_playtime': 'log'}",0.3618304432106273,0.0058199630664291,20.91898202896118,0.3534153716875458,0.4095158485080895,0.0064115433866739,0.0039293294977976
"{'alpha1': 0.11882362573992453, 'alpha2': 0.0002482461686643123, 'stage1_k': 58, 'popularity_weight': 0.005100814273111089, 'num_iterations': 239, 'process_playtime': 'log'}",0.3622679686684542,0.0057413405889734,21.91533088684082,0.353877265682956,0.4098152855862775,0.0062718271259225,0.004677072677415
"{'alpha1': 0.35107704924516936, 'alpha2': 0.7493438163152315, 'stage1_k': 94, 'popularity_weight': 0.0035734450150540563, 'num_iterations': 102, 'process_playtime': 'log'}",0.3465625268179549,0.0066776874717673,35.02711772918701,0.3389567799205999,0.3896617592363003,0.0074986237737759,0.0027657185194539
"{'alpha1': 0.07986280546232466, 'alpha2': 0.017304169992914984, 'stage1_k': 250, 'popularity_weight': 0.05279995410405639, 'num_iterations': 82, 'process_playtime': 'log'}",0.3610702025357223,0.0067124800486585,22.300086975097656,0.3528969327970321,0.4073853977216335,0.0072850635496615,0.0039199781284372
"{'alpha1': 0.7482311711240895, 'alpha2': 0.012132679914960812, 'stage1_k': 115, 'popularity_weight': 0.19489972335105574, 'num_iterations': 244, 'process_playtime': 'log'}",0.3477779157212035,0.007795896644726,30.22572016716003,0.3402331749919421,0.3905314465203508,0.0082596311205117,0.0057512248894043
"{'alpha1': 0.14155405387510492, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.3624361669765407,0.0054643633651027,21.03007698059082,0.3539789578482793,0.4103603520366889,0.0060716750734563,0.0041247996869676
"{'alpha1': 0.4278146448650837, 'alpha2': 0.01921406358493167, 'stage1_k': 136, 'popularity_weight': 0.18998354533951728, 'num_iterations': 100, 'process_playtime': 'log'}",0.3562825773446099,0.0059175402939689,23.59653091430664,0.3481816805583073,0.4021876591336584,0.0066089544738273,0.0036804894097986
"{'alpha1': 0.5919259821218292, 'alpha2': 0.033489716124538695, 'stage1_k': 85, 'popularity_weight': 0.00646758840435693, 'num_iterations': 81, 'process_playtime': 'log'}",0.3520845785761464,0.0068215869696142,25.850648164749146,0.3442577841289131,0.3964364137771344,0.0074478942387762,0.004396341321097
"{'alpha1': 0.28791287053386627, 'alpha2': 0.0039345744337640496, 'stage1_k': 205, 'popularity_weight': 0.02373750221689242, 'num_iterations': 79, 'process_playtime': 'log'}",0.3591621815119891,0.0056059172196718,21.982490062713623,0.3509893000235249,0.4054751766132859,0.0062756039780457,0.002455103541687
"{'alpha1': 0.050292134338392344, 'alpha2': 0.018951091386062442, 'stage1_k': 51, 'popularity_weight': 0.0007268250668611034, 'num_iterations': 492, 'process_playtime': 'log'}",0.3618130433612976,0.006399855179418,20.48884892463684,0.3535834510854492,0.4084473995911046,0.0070419985256221,0.0033513236551506
"{'alpha1': 0.0921233942200681, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.3625989312790307,0.0054261419240675,19.802863836288452,0.3541545565464822,0.4104503880968053,0.0060355105266347,0.004160611377794
"{'alpha1': 0.09523650612489275, 'alpha2': 0.0, 'stage1_k': 250, 'popularity_weight': 0.0, 'num_iterations': 75, 'process_playtime': 'log'}",0.3625348016272271,0.005388831150325,19.886959075927734,0.3540882123619688,0.4103988074636903,0.0060029137866003,0.0040885429666536
"{'alpha1': 0.7283332610358555, 'alpha2': 0.7420038335009596, 'stage1_k': 63, 'popularity_weight': 0.19132918291644585, 'num_iterations': 242, 'process_playtime': 'log'}",0.3431224836880893,0.0071782889207337,44.48762083053589,0.3359323026638598,0.3838668428253897,0.0077213012499946,0.0042855595922516
"{'alpha1': 0.009954689614777999, 'alpha2': 0.003081298651078119, 'stage1_k': 142, 'popularity_weight': 0.00429626362904001, 'num_iterations': 274, 'process_playtime': 'log'}",0.3595625111509254,0.0070276925949125,32.19335889816284,0.3518786547517178,0.4031043640797687,0.0075549208191611,0.0050285348148808
